date,columna1,columna2,columna3,columna4,columna5,columna6,columna7,columna8,columna9,columna10,columna11,columna12,columna13,columna14,columna15,columna16,columna17,columna18,columna19,columna20,columna21,columna22,columna23,columna24,columna25,columna26,columna27,columna28,columna29,columna30,columna31,columna32,columna33
2017-09-08,2816665518,2463179384,676530633,205405368,35911075,23551641,21465737,54943246,29671201,59798697,79379376,17817031,101992309,12104232,16782598,17708122,188245498,76166911,40027160,13516798,22622953,1270643861,144678904,832499125,293465832,174969381,18570923,99925528,61199603,55036721,41500283,13536438,163934121
2017-09-09,863399280,825828572,124317112,59001618,8904138,3379806,7035378,5274054,3322840,5560690,5166635,5924743,13027089,1061916,415375,6242830,11004899,3606756,2419739,394377,792640,588003076,9225110,229161201,349616765,258361702,9487801,81767262,17927120,44033544,30167893,13865651,6759999
2017-09-10,690236907,640492154,104673220,32755888,691631,1535135,11892379,10269063,429386,20405380,7626266,4929578,8947751,2892156,1688264,610343,15211277,12187506,7913092,2460520,1813894,366529570,4115681,288490394,73923495,36511254,8714931,28697310,32271402,45972172,32669037,13303135,30782810
2017-09-11,2984821959,2195921330,517287549,150632763,15203640,15383284,15073963,35891912,856836,36433538,67733015,7746984,62686900,11163000,44243985,54237729,564206876,84952706,40748294,20679351,23525061,1112348944,117033111,732981283,262334550,169817026,15867638,76649886,100473227,51581852,41259679,10322173,49827226
2017-09-12,2756358508,2318058787,584335532,167562990,22494916,16567248,18065112,55085471,43241911,39049068,62639876,12994617,102332907,10722930,20204521,13373965,249939834,70735354,33073300,11687997,25974057,1291873021,181923026,804886192,305063803,196706606,15818355,92538842,70611886,47490440,35465321,12025119,83230838
2017-09-13,2920470250,2379049151,612873248,162171838,24735640,18959443,25173617,58661523,40383796,37036645,72764756,14747562,97813808,11466354,30565727,18392539,378195828,65928241,35574012,11051098,19303131,1290528573,162195483,806679611,321653479,213455419,13897949,94300111,125299936,45109736,34341077,10768659,46649280
2017-09-14,2763040169,2449651858,661732593,164339715,24790135,16767501,25710596,57324305,36240693,41800401,83857013,17315526,108725596,11798043,25955148,47107921,160119264,100158892,57160418,18042501,24955973,1298728503,179538554,810377381,308812568,193262425,18193950,97356193,87380976,48227109,36470447,11756662,60977991
2017-09-15,4525843676,4091688197,1264810589,281680392,30053327,35846531,75731432,108954082,45734538,149939293,180114967,51030008,216741284,25178176,38073901,25732658,187683216,107937171,52343895,21708660,33884616,2019820007,285881051,1343853113,390085843,234005427,34450965,121629451,122291697,53264781,38883738,14381043,165933363
2017-09-16,956220190,913477300,117547338,58583995,8915023,3780365,5306140,1771091,3616682,5113828,4785601,6871520,13614305,1339130,458690,3390968,10334799,2786067,1532831,514750,738486,624064420,12632267,221507419,389924734,272178990,15909834,101835910,23738164,41285001,27938441,13346560,64287381
2017-09-17,335579207,306662095,46829414,21358749,185094,562366,3575030,1230928,595861,3516751,2027228,3660993,6667360,2286046,619335,543673,7556504,2218106,1350136,340872,527098,149068243,2766636,66049016,80252591,36087505,8214432,35950654,22705095,40843452,28558841,12284611,8175985
2017-09-18,3009641614,2575044239,667238197,197316897,19281652,22613379,20397820,60442414,38001072,52663126,88295805,15804735,96824596,16639190,28225288,10732223,200271044,87099922,35043857,21803335,30252730,1386433692,192127172,867865321,326441199,208996181,15924352,101520666,83717547,53957263,41807567,12149696,85205659
2017-09-19,3173411482,2719098173,640381919,157280268,32471050,17899192,16276028,52226580,43855883,46185052,69195207,24294611,102837220,12854742,20542387,44463699,179731018,76048694,43490493,12528426,20029775,1326675339,216202108,804030159,306443072,188386039,15342090,102714943,234965817,45358822,36408077,8950745,219117232
2017-09-20,3428075220,2949228890,693510743,179203400,36725345,18664269,31161505,67415559,40178214,62163830,77471282,20419258,106754129,13475690,25095131,14783131,287062330,98557232,44838529,18120529,35598174,1589704052,203657620,1071612040,314434392,182172391,15789820,116472181,78998033,44269875,33194426,11075449,196973530
2017-09-21,2900911649,2608591828,667519875,171025141,28695238,20241759,25046083,58687324,38843726,41086381,79039317,20605442,106326778,13431692,24684187,39806807,134863911,88545059,44459927,15751993,28333139,1329693096,192665487,843353498,293674111,189193910,17531172,86949029,63523488,45496887,34996447,10500440,213443563
2017-09-22,3801430911,3339216891,856629185,237344389,59941086,25817354,24769419,67385607,49839165,68871602,93145744,25136237,137582281,15382942,33306912,18106447,286074150,109061626,54232735,26001506,28827385,1566514861,244643286,985182368,336689207,223653285,15620854,97415068,110958365,50457052,36673153,13783899,224311307
2017-09-23,873653302,834771152,124639532,54942296,8969285,3781935,5254943,5146019,3336241,8238738,5037529,9282756,14717022,1615716,329254,3987798,8351128,3379631,2462324,280211,637096,573017167,11368009,211848291,349800867,260472226,9596370,79732271,17346367,38732194,25954007,12778187,37494550
2017-09-24,356993185,331410146,52686302,22607351,48178,638982,3341943,1705952,316463,5904511,3367201,3502073,7555432,2682790,794487,220939,6104073,3337995,2119251,149844,1068900,167671451,2143557,96032069,69495825,37136532,10413064,21946229,26885993,39270042,26942085,12327957,9185220
2017-09-25,3204331324,2766105399,725722916,200064265,22870627,24326470,26616733,66341410,39383202,52948636,89502254,22637410,121017110,14248825,32698773,13067201,153182773,119741855,56740907,17175931,45825017,1424779344,230729865,876754770,317294709,207406604,17282856,92605249,91035596,44217384,32573347,11644037,97499840
2017-09-26,3256370971,2948164555,786952725,180684179,44203675,20136663,20237962,75808693,46663529,44412137,94717967,20928338,116928610,10595017,95937082,15698873,125809801,120727864,71455703,14709131,34563030,1553380460,286653577,952677567,314049316,197802423,16978753,99268140,74282303,42276766,31112812,11163954,154251602
